timeline,character_name,english_dialogue,bengali_dialogue
"00:16:21,731 --> 00:16:24,650",SELFRIDGE,"I love this putter, Ronnie! I love this putter.","আমি এই পাত্রটিকে ভালবাসি, রনি! আমি এই পাত্রটিকে ভালবাসি."
"00:16:27,528 --> 00:16:34,785",GRACE,"Parker, you know, I used to think it was benign neglect, but now I see that you're intentionally screwing me.","পার্কার, তুমি জান, আমি ভাবতে অভ্যস্ত যে এটি সহ্রদয় অবজ্ঞা ছিল, কিন্তু এখন আমি দেখতে পাচ্ছি যে তুমি ইচ্ছাকৃতভাবে আমাকে নিংড়ে ফেলছ."
"00:16:34,869 --> 00:16:38,456",SELFRIDGE,"Grace, you know, I enjoy our little talks.","গ্রেস, তুমি জান, আমি আমাদের এই সংক্ষিপ্ত আলাপ উপভোগ করি ."
"00:16:42,835 --> 00:16:46,255",GRACE,I need a researcher. Not some jarhead dropout.,আমার একজন গবেষক প্রয়োজন. কোন মস্তিস্কবিহীন নয়.
"00:16:46,339 --> 00:16:49,591",SELFRIDGE,"Well, actually, I thought we got lucky with him. -Lucky? Yeah.","- ভাল, আসলে, আমি ভাবছিলাম আমরা তাকে পেয়ে ভাগ্যবান. - ভাগ্যবান? - ইয়া."
"00:16:49,675 --> 00:16:51,718",GRACE,How is this in any way lucky?,এটা কোন দিক দিয়ে ভাগ্যবান?
"00:16:51,802 --> 00:16:58,559",SELFRIDGE,"Lucky your guy had a twin brother, and lucky that brother wasn't some oral hygienist or something.","ভাগ্যবান যে তোমার লোকটির একজন যমজ ভাই ছিল, এবং ভাগ্যবান যে  ভাইটি কোনো মুখবিষয়ক  স্বাস্থ্যবিজ্ঞানী ছিল না বা অন্যকিছু."
"00:16:58,643 --> 00:17:00,477",SELFRIDGE,A Marine we can use.,একজন নৌসেনা আমরা ব্যবহার করতে পারি.
"00:17:00,561 --> 00:17:04,022",SELFRIDGE,I'm assigning him to your team as security escort. -The last thing I need is another trigger-happy moron out there!,আমি তাকে তোমার দলে নিরাপত্তা প্রহরী হিসেবে দায়ীত্ব দিয়েছি. - শেষ বিষয় হচ্ছে আমার বাইরে এখানে আরেকজন বোকা লোক দরকার!
"00:17:04,106 --> 00:17:07,109",SELFRIDGE,"Look, look, you're supposed to be winning the hearts and the minds of the natives.","দেখো, দেখো, তোমার হ্রদয় জয় করার কথা। এবং স্থানীয়দের মনকে."
"00:17:07,193 --> 00:17:12,406",SELFRIDGE,"Isn't that the whole point of your little puppet show? If you look like them and you talk like them, then they'll start trusting us.","এটা তোমার ছোট পুতুল নাচের পুরো দিক নয় কি? তোমাকে যদি তাদের মতো দেখায় এবং তুমি যদি তাদের মতো কথা বলো, তখন তারা আমাদেরকে বিশ্বাস করতে শুরু করবে."
"00:12:48,000 --> 00:17:16,577",SELFRIDGE,"We build them a school, we teach them English, but after, what, how many years?","আমরা তাদের একটা স্কুল তৈরী করে দেবো, আমরা তাদের ইংরেজী শেখাবো, কিন্তু তারপর, কি, কয় বছর ধরে?"
"00:17:16,661 --> 00:17:18,162",SELFRIDGE,Relations with the indigenous are only getting worse.,দরিদ্রের সাথে আত্মীয়তা শুধু খারাপের দিকেই যাবে
"00:17:18,246 --> 00:17:21,072",GRACE,"Yeah, that tends to happen when you use machine guns on them.","ইয়া, এর প্রবনতা তখনি দেখা দেবে যখন তুমি তাদের দিকে মেশিন গান ব্যবহার করবে."
"00:17:29,799 --> 00:17:35,929",SELFRIDGE,This is why we're here. Unobtanium. Because this little gray rock sells for 20 million a kilo.,এর জন্যই আমরা এখানে. আনঅবটেনিয়াম. কারন এই ছোট ধুসর পাথর কেজিতে ২০ মিলিয়ন টাকায় বিক্রি হবে.
"00:17:36,013 --> 00:17:39,224",SELFRIDGE,That's the only reason. It's what pays for the whole party.,এটাই একমাত্র কারন. এটা পুরো একটা পার্টির মূল্য পরিশোধ করতে পারে.
"00:17:39,308 --> 00:17:41,185",SELFRIDGE,It's what pays for your science.,এটা তোমার বিজ্ঞান পরিশোধ করতে পারে.
"00:17:42,603 --> 00:17:50,319",SELFRIDGE,"Now, those savages are threatening our whole operation, we're on the brink of war, and you're supposed to be finding a diplomatic solution.","এখন, ঐ বন্যরা আমাদের পুরো অপারেশনকে হুমকি দিচ্ছে, আমরা যুদ্ধের দিকে যাচ্ছি, আর তোমার একটা কুটনৈতিক সমাধান খোজার কথা."
"00:17:50,403 --> 00:17:53,948",SELFRIDGE,"So use what you've got, and get me some results.","তো তুমি যা পেয়েছো তাই ব্যবহার করো, এবং আমাকে কিছু ফলাফল দিতে থাক."
"00:18:04,834 --> 00:18:07,336",GRACE,"So, how much link time have you logged?","তাহলে, তোমার কতক্ষন সংযুক্ত হওয়ার সময় অন্তর্ভূক্ত করা আছে?"
"00:18:07,420 --> 00:18:09,796",NORM,About 520 hours.,৫২০ ঘন্টা ধরে.
"00:18:13,968 --> 00:18:15,510",GRACE,How much have you logged?,তোমার কতক্ষন অন্তর্ভূক্ত করা আছে?
"00:18:15,594 --> 00:18:17,847",JAKE,Zip. But I read a manual.,কিছুই নেই. কিন্তু আমি একটা বিবরন পড়েছি.
"00:18:19,223 --> 00:18:20,323",GRACE,Tell me you're joking.,আমাকে বল যে তুমি তামাশা করছো.
"00:18:22,601 --> 00:18:23,602",JAKE,This is cool.,এটা উপভোগ্য.
"00:18:24,437 --> 00:18:25,688",GRACE,Let's go.,চলো.
"00:18:29,775 --> 00:18:31,485",JAKE,Don't. I got this.,লাগবে না. আমি পারবো.
"00:18:35,406 --> 00:18:44,623",GRACE,"So you just figured you'd come out here, to the most hostile environment known to man, with no training of any kind, and see how it went?","তো তুমি এইমাত্র বের করলে তুমি এখানে এসেছো, মানুষের জানা সবচে বড় প্রতিকুল পরিবেশে, কোনোরকম প্রশিক্ষন ছাড়াই, এবং দেখতে এটা কিরকম?"
"00:18:45,041 --> 00:18:47,376",GRACE,What was going through your head?,তোমার মাথায় কি ঘোরাফেরা করছে?
"00:18:47,460 --> 00:18:50,310",JAKE,Maybe I was sick of doctors telling me what I couldn't do.,হয়তোবা আমি ডাক্তার এর 'যেটা আমি পারব না' এই কথার ফলে বিতৃষ্ণ ছিলাম.
"00:18:51,380 --> 00:18:53,758",TECH,Biometrics are good. Link three is ready.,- বায়োমেট্রিক্স ভালোই. - সংযুক্তি ৩ প্রস্তুত.
"00:18:54,133 --> 00:18:58,471",GRACE,"Keep your arms in, hands in, head down.","তোমার বাহু রাখো, হাত রাখো, মাথা নিচে."
"00:18:59,555 --> 00:19:03,309",GRACE,Down. Just relax and let your mind go blank.,নিচে. আরাম করো আর তোমার মনকে ফাঁকা হতে দাও.
"00:19:04,018 --> 00:19:05,477",GRACE,That shouldn't be hard for you.,এটা তোমার জন্য কঠিন কিছু হবে না.
"00:19:05,561 --> 00:19:07,813",JAKE,[CHUCKLING] Kiss the darkest part of my lily white…,আমার লিলি হোয়াইটের অন্ধকার অধ্যায়কে চুমু খাও...
"00:19:07,897 --> 00:19:09,357",MAX,Initiate link.,সংযুক্তি চালু হচ্ছে.
"00:19:10,149 --> 00:19:12,609",MAX,Run sequence unit three. Go.,সিকোয়েন্স ইউনিট ৩ চালাচ্ছি. যাও.
"00:19:12,693 --> 00:19:14,111",LINK TECH,Launching.,চালু হচ্ছে.
"00:19:19,575 --> 00:19:21,077",LINK TECH,I have the first congruency.,আমি প্রথম মিল পেয়েছি.
"00:19:29,502 --> 00:19:32,045",MAX,That's a gorgeous brain. Nice activity.,এটা একটা চমৎকার মস্তিষ্ক. সুন্দর সক্রিয়তা.
"00:19:32,129 --> 00:19:34,632",GRACE,Hmm. Go figure.,ভালোভাবে খুজে দেখো.
"00:19:35,049 --> 00:19:37,051",LINK TECH,Phase-lock 40%.,ফেজ-লক ৪০%.
"00:19:41,013 --> 00:19:42,598",GRACE,All right. Going in.,ঠিক আছে. যাচ্ছি.
"00:19:43,224 --> 00:19:44,809",GRACE,I'm going in in four.,আমি ৪ এর ভেতরে যাচ্ছি.
"00:19:47,853 --> 00:19:50,481",LINK TECH,Phase-lock 99%. Link is stable.,ফেজ-লক ৯৯%. সংযুক্তি অপরিবর্তনীয়.
"00:20:05,329 --> 00:20:11,168",MAX,"He's in. Jake, can you hear me? Can you hear me, Jake?","সে ঢুকেছে. জ্যাক, তুমি কি আমাকে শুনছো? তুমি কি আমাকে শুনছো, জ্যাক?"
"00:20:11,252 --> 00:20:12,878",LINK TECH,Pupillary reflex is good.,চোখের মনির প্রতিফলন ভালো.
"00:20:15,631 --> 00:20:18,050",MAX,"Pinna response normal. How you feeling, Jake?","সাড়া দেওয়া ও ঠিক আছে. তুমি কেমন অনুভব করছ, জ্যাক?"
"00:20:19,385 --> 00:20:20,761",JAKE,"Hey, guys.","হেই, লোকজন."
"00:20:21,637 --> 00:20:23,347",MAX,"[CHUCKLES] Welcome to your new body, Jake.","তোমার নতুন দেহে স্বাগতম, জ্যাক."
"00:20:23,431 --> 00:20:24,806",FEMALE TECH,Good!,ভালো!
"00:20:24,890 --> 00:20:26,391",MAX,"Yeah, we're gonna take this nice and easy, Jake.","ইয়া, আমরা এটাকে সুন্দর আর সহজবভাবে নিচ্ছি, জ্যাক."
"00:20:26,475 --> 00:20:28,602",MAX,And touch your thumb to your fingers. -Yeah.,- এবং তোমার বুড়ো আঙ্গুল থেকে অন্য আঙ্গুলগুলো স্পর্শ করো. - ইয়া.
"00:20:28,686 --> 00:20:30,062",JAKE,Thumb to your fingers. -No problem.,- বুড়ো আঙ্গুল থেকে অন্য আঙ্গুলগুলো. - সমস্যা নেই.
"00:20:30,146 --> 00:20:31,730",MAX,That's good. I can see you can remember that one.,এটা ভালো. আমি তোমাকে দেখে একে চিনতে পারছি.
"00:20:31,814 --> 00:20:32,814",JAKE,Got it.,পেয়েছি.
"00:20:32,898 --> 00:20:35,317",MAX,"Well, if you want to sit up, that's fine. -Okay, good.","- ভালো, তুমি যদি বসে থাকতে চাও, - খুব ভালো. - ওকে, ভালো."
"00:20:35,401 --> 00:20:38,403",MAX,"Just take it nice and slow, Jake. Good. Okay, well, no truncal ataxia, that's good.","শুধু উঠো সুন্দরভাবে এবং আস্তে, জ্যাক. ভালো. ওকে, ভালো, কোনো ট্রাংকাল গোলমাল নেই, এটা ভালো."
"00:20:38,487 --> 00:20:41,990",MAX,Are you feeling lightheaded or dizzy at all? -You're wiggling your toes!,তুমি কি এতে উদ্ভ্রান্ত বা হতবুদ্ধি অনুভব করছো ? তুমি তোমার পায়ের আঙ্গুলগুলো নাড়াচ্ছো!
"00:20:42,074 --> 00:20:43,825",MALE TECH,"Good. Good, Jake. -That's great.","- ভালো. ভালো, জ্যাক. - এটা চমৎকার."
"00:20:45,369 --> 00:20:48,413",MALE TECH,"Distal motor control is good. Good, Jake.","ডিস্টাল মোটোর কন্ট্রোল ঠিক আছে. ভালো, জ্যাক."
"00:20:48,497 --> 00:20:51,167",MALE TECH,Are you feeling any numbness or pain?,তুমি কি অসাড়তা বা ব্যথা অনুভব করছো?
"00:20:52,084 --> 00:20:53,794",MAX,"That's great, Jake. Hold on, now.","এটা চমৎকার, জ্যাক. থামো, এখনি."
"00:20:54,086 --> 00:20:56,129",MAX,"Take it easy. Don't get ahead of yourself, okay?","সহজভাবে নাও. নিজে নিজে সামনে এগিও না, ঠিক আছে?"
"00:20:56,213 --> 00:20:59,800",MAX,"There's a few more sensory motor reflex tests we need to run, so take it easy.","অল্প কিছু ইন্দ্রিয় সমন্ধীয় মোটোর রিফ্লেক্স পরীক্ষা আমাদের চালানো প্রয়োজন, তাই সহজভাবে নাও."
"00:20:59,884 --> 00:21:00,884",JAKE,Ooh! Wait.,অপেক্ষা করো.
"00:21:00,968 --> 00:21:02,469",MAX,"Jake. -Sit down, Jake.","- জ্যাক. - বসো, জ্যাক."
"00:21:02,553 --> 00:21:04,889",MAX,Jake! Listen to me. Jake! Whoa.,জ্যাক! আমাকে শোনো. জ্যাক!
"00:21:05,598 --> 00:21:07,265",MAX,I need you to sit down. -Jake! -It's okay.,- আমি চাই তুমি বসো. - জ্যাক! - ঠিক আছে.
"00:21:07,349 --> 00:21:09,142",MAX,"Buddy, listen to me. -It's all good. I got this.","- ইয়ার, আমাকে শোনো. - এটা পুরোপুরি ভালো. আমি আছি."
"00:21:09,226 --> 00:21:11,353",MAX,"Jake, you need to sit down right now.","- জ্যাক, তোমার এই মুহুর্তে বসা প্রয়োজন. - লোকজন, তাকে এখনি গারনিতে ফিরিয়ে নিয়ে এসো."
"00:21:11,437 --> 00:21:12,854",MAX,"Guys, get him back on the gurney now.","লোকজন, তাকে এখনি গারনিতে ফিরিয়ে নিয়ে এসো."
"00:21:12,938 --> 00:21:15,065",MAX,"Listen to me. For your own safety, you need to sit down.","আমাকে শোনো. তোমার নিজের সুরক্ষার জন্য, তোমার বসা প্রয়োজন."
"00:21:15,149 --> 00:21:17,984",MAX,You need time to adjust to the avatar… Whoa! Jake!,অ্যাভাটারের সাথে মানিয়ে নেয়ার জন্য তোমার সময় প্রয়োজন ... ওয়া! জ্যাক!
"00:21:18,068 --> 00:21:20,196",MAX,"God, Jake, watch your tail. -[LAUGHING] Yeah!","- ঈশ্বর, জ্যাক, তোমার লেজের দিকে দেখো . - ইয়া!"
"00:21:20,404 --> 00:21:24,491",GRACE,Sedate! Sedate him! A thousand milligrams of Supitocam! Stat!,শান্ত! তাকে শান্ত করো! একটা হাজার মি.গ্রা. এর সাপিটোক্যাম! শুরু!
"00:21:24,575 --> 00:21:26,868",MAX,Guys! Guys! Whoa! Whoa!,লোকজন! লোকজন! ওয়া! ওয়া!
"00:21:26,952 --> 00:21:27,953",NORM [ON INTERCOM],By the numbers.,ধাপে ধাপে.
"00:21:28,037 --> 00:21:29,454",NORM,Jake. Come on. -Jake! Listen to me.,- জ্যাক. দেখো. - জ্যাক! আমাকে শোন.
"00:21:29,538 --> 00:21:31,123",MAX,You're not used to your avatar body.,তুমি তোমার অ্যাভাটার দেহে অভ্যস্ত নও.
"00:21:31,207 --> 00:21:32,874",MAX,This is dangerous. -This is great.,- এটা বিপদজনক. - এ্টা চমৎকার.
"00:21:32,958 --> 00:21:36,253",MAX,"Jake? Jake, listen to me. -Come on. They're gonna put you out.","- জ্যাক? জ্যাক, আমাকে শোন.. - দেখো. তারা তোমাকে সরিয়ে দেবে."
"00:21:38,797 --> 00:21:39,965",MALE TECH,"Norm, sit down. -No, no. I gotta get out of these leads.","- নর্ম , বসো. - না, না. আমাকে অবশ্যই এগিয়ে বের করতে হবে."
"00:21:40,049 --> 00:21:41,466",NORM,"No, no. I gotta get out of these leads.","না, না. আমাকে অবশ্যই এগিয়ে বের করতে হবে."
"00:21:41,550 --> 00:21:43,135",GRACE,God damn it! Bring them home!,ঈশ্বরের নিকুচি করি! তাদের ঘরে নিয়ে এসো!
"00:21:43,219 --> 00:21:46,278",MAX,Norm! Do not leave control! -You're not ready for it!,- নর্ম! নিয়ন্ত্রন ছেড়ো না! - তুমি এটার জন্য তৈরী না !
"00:21:47,640 --> 00:21:50,016",JAKE,"Oh, come on, you ain't got no skills.","ওহ, দেখো, তোমার কোনো দক্ষতা নেই."
"00:21:50,100 --> 00:21:51,476",JAKE,Ooh! Ooh! So close!,কাছেই!
"00:21:51,560 --> 00:21:53,145",JAKE,I don't even have to play defense on it.,যদিও আমি এটার ডিফেন্স খেলি নি.
"00:21:53,229 --> 00:21:54,729",MALE AVATAR,"Hey, guys. Hey. -Whoa.","হেই, লোকজন. হেই."
"00:21:54,813 --> 00:21:57,107",NORM,"It's okay, I'll get him. -Jake, you have to come back!","- ঠিক আছে, আমি তাকে আনছি. - জ্যাক, তোমার ফিরে আসা দরকার!"
"00:21:57,191 --> 00:21:58,984",NORM,Jake! Jake! Excuse me.,জ্যাক! জ্যাক! ক্ষমা করবেন.
"00:22:01,529 --> 00:22:03,155",NORM,Watch it! -Sorry!,- দেখে যাও! - দুঃখিত!
"00:22:03,239 --> 00:22:04,657",JAKE,Come on!,দেখো!
"00:22:05,783 --> 00:22:08,661",NORM,Jake! We're not supposed to be running!,জ্যাক! আমাদের দৌড়ানোর কথা না!
"00:22:19,505 --> 00:22:20,589",JAKE,Watch it!,দেখে যাও!
"00:22:42,861 --> 00:22:44,363",GRACE,"Hey, Marine!","হেই, মেরিন!"
"00:22:45,197 --> 00:22:46,615",JAKE,Damn.,মূর্খ.
"00:22:48,659 --> 00:22:49,826",JAKE,Grace?,গ্রেস?
"00:22:49,910 --> 00:22:51,829",GRACE,"Well, who'd you expect, numbnuts?","ভালো, তুমি কাকে আশা করছিলে, নাম্বনাটস?"
"00:22:53,038 --> 00:22:54,582",GRACE,Think fast.,দ্রুত চিন্তা করো.
"00:22:55,374 --> 00:22:57,585",GRACE,Motor control's looking good.,মোটোর কন্ট্রোল ভালোই দেখা যাচ্ছে.
"00:23:07,469 --> 00:23:11,807",GRACE,"Come on, everybody, quiet down! All right, gang, lights out.","আসো, প্রত্যেকে, চুপ হও! ঠিক আছে, দল, আলো বন্ধ."
"00:23:12,474 --> 00:23:13,975",GRACE,"Come on, Louise, chop-chop.","চলো, লুইস, কেটে পড়ো-কেটে পড়ো."
"00:23:14,059 --> 00:23:15,561",JAKE,"Hey, hey, hey!","হেই, হেই, হেই!"
"00:23:16,061 --> 00:23:18,271",GRACE,"Don't play with that, you'll go blind.","এটাকে নিয়ে খেলো না, তুমি অন্ধ হয়ে যাবে."
"00:23:18,355 --> 00:23:19,814",JAKE,That's kind of freaky.,এটা অস্বাভাবিক রকমের.
"00:23:19,898 --> 00:23:22,067",GRACE,Come on. Scat.,চলো. স্ক্যাট.
"00:23:23,319 --> 00:23:24,570",GRACE,Good night.,শুভ রাত্রি.
"00:23:26,447 --> 00:23:29,575",GRACE,"Lights out! See you at dinner, kiddies.","আলো বন্ধ! ডিনারে দেখা হবে, খোকারা."
"00:23:53,557 --> 00:23:54,600",MAX,Welcome back.,আবারো স্বাগতম.
"00:24:02,608 --> 00:24:04,943",MAX,"You okay? You all right? -Yeah, I'm okay.","- তুমি ঠিক? তুমি ঠিক আছ? - ইয়া, আমি ঠিক."
"00:24:06,654 --> 00:24:11,950",TRUDY,I'm Trudy. I fly all the science sorties. And this here is my baby.,আমি অবসন্ন. আমি সব বৈজ্ঞানিক অভিযানগুলোতে উড়াই. আর এই হচ্ছে আমারটা.
"00:24:12,534 --> 00:24:14,161",TRUDY,Hold on a second.,এক সেকেন্ড থামো.
"00:24:14,703 --> 00:24:17,623",TRUDY,"Hey, Wainfleet! Get it done!","হেই, ওয়েনফ্লিট! এটাকে শেষ করো!"
"00:24:18,040 --> 00:24:21,168",TRUDY,"We bounce at zero-nine. -Yeah, I'm on it, capitaine!","- আমরা জিরো-নাইনের দিকে প্রবেশ করছি. - ইয়া, আমি করছি, ক্যাপিটাইন!"
"00:24:22,878 --> 00:24:24,838",TRUDY,Vine strike's still loose.,লতান উদ্ভিদগুলোতে আঘাত এখনো নড়বড়ে.
"00:24:24,922 --> 00:24:27,090",JAKE,You guys are packing some heavy gear.,তোমরা লোকজনরা কিছু ভারী গিয়ার বাঁধাই করছো.
"00:24:27,174 --> 00:24:28,550",TRUDY,Watch it!,দেখে যাও!
"00:24:29,176 --> 00:24:31,845",TRUDY,"Yeah, that's 'cause we're not the only thing flying around out there.","ইয়া, কারন এই যে শুধুমাত্র আমরাই বাইরে উড়ছি না."
"00:24:31,929 --> 00:24:33,597",TRUDY,Or the biggest.,অথবা বৃহৎ.
"00:24:33,681 --> 00:24:36,516",TRUDY,I'm gonna need you on a door gun. I'm a man short.,আমার একটা দরজার অস্ত্রে তোমাকে প্রয়োজন. আমার একজন লোক কম.
"00:24:36,600 --> 00:24:38,435",JAKE,I thought you'd never ask.,আমি ভেবেছিলাম তুমি কখনো জিজ্ঞেস করবে না.
"00:24:39,770 --> 00:24:42,940",TRUDY,There's your man. See you on the flight line.,এই হচ্ছে তোমার লোক. ফ্লাইট লাইনে তোমার সাথে দেখা হবে.
"00:24:53,659 --> 00:24:56,036",JAKE,"You wanted to see me, Colonel?","আপনি আমার সাথে দেখা করতে চেয়েছেন, কর্নেল?"
"00:24:56,120 --> 00:24:58,747",QUARITCH,This low gravity'll make you soft.,এই কম মাধ্যাকর্ষন তোমাকে সহজ করবে.
"00:25:00,165 --> 00:25:01,709",QUARITCH,You get soft…,"তুমি সহজ হবে,"
"00:25:04,962 --> 00:25:08,257",QUARITCH,Pandora will shit you out dead with zero warning.,প্যান্ডোরা তোমাকে সতর্কবানী ছাড়াই ভালো করে মারবে.
"00:25:09,341 --> 00:25:11,885",QUARITCH,"I pulled your record, Corporal.","আমি তোমার রেকর্ড ঘেঁটে দেখেছি, করপোরাল."
"00:25:11,969 --> 00:25:14,388",QUARITCH,"Venezuela, that was some mean bush.","ভেনেজুয়েলা, কিছু বিশ্রী ঝোঁপ ঝাড় ছিল."
"00:25:16,348 --> 00:25:18,684",QUARITCH,"Nothing like this here, though.","এখানকার মত না, যদিও."
"00:25:20,936 --> 00:25:23,787",QUARITCH,"You got some heart, kid, showing up in this neighborhood.","তোমার অল্প কলিজা (সাহস) আছে, খোকা, এখানে উদঘাটন করার মত."
"00:25:24,356 --> 00:25:26,274",JAKE,I figured it's just another hellhole.,আমি খুজে বের করলাম এটা শুধু আরেকটা নরকের গর্ত.
"00:25:26,358 --> 00:25:28,777",QUARITCH,I was First Recon myself.,আমি নিজে প্রথম রেকন ছিলাম.
"00:25:28,861 --> 00:25:32,072",QUARITCH,"A few years ahead of you. Well, maybe more than a few.","তোমার কিছু বছর আগে. ভালো, সম্ভবত অল্প থেকে একটু বেশি."
"00:25:33,031 --> 00:25:35,950",QUARITCH,"Three tours Nigeria, not a scratch.","নাইজেরিয়া তে ৩টি সফর, কোন আঁচড় নেই."
