timeline,character_name,english_dialogue,bengali_dialogue
"00:13:46,460 --> 00:13:48,596",AUNT MAY,"Oh, I'm sorry.",হ্যালো?
"00:13:50,230 --> 00:13:55,102",AUNT MAY,It's just that I miss your Uncle Ben so much.,ভাড়া?
"00:13:55,235 --> 00:13:57,705",AUNT MAY,Can you believe that it's...,ডক্টর ? মি. ওসবর্ন এসেছেন
"00:13:57,838 --> 00:14:00,774",AUNT MAY,two years next month since he was taken?,"নোবেল পুরষ্কার, অটো; নোবেল পুরষ্কার আর আমরা সবাই ধনী হয়ে যাবো"
"00:14:03,677 --> 00:14:06,714",AUNT MAY,I think to myself at times...,"এটা পুরষ্কারের জন্য নয়, হ্যারি"
"00:14:06,847 --> 00:14:11,051",AUNT MAY,"were I to face the one responsible for what happened, I'd...",কিন্তু আপনার টাকা দরকার আপনার ওসক্রপ প্রয়োজন
"00:14:11,185 --> 00:14:15,255",AUNT MAY,"Oh, I don't know what I'd do.",আমরা এখানে কাকে পেয়েছি?
"00:14:18,192 --> 00:14:19,126",AUNT MAY,Oh...,"আমার ঘনিষ্ঠ বন্ধু, আপনাকে বলেছিলাম"
"00:14:24,298 --> 00:14:26,634",AUNT MAY,Now... you better take,সে আমাকে হাই-স্কুল সাইন্স থেকে পরিচয়
"00:14:26,767 --> 00:14:27,901",AUNT MAY,the rest of your cake home.,"পিটার পার্কার, স্যার আমি আপনাকে নিয়ে লিখছি--"
"00:14:41,782 --> 00:14:43,117",MARY JANE,MARY JANE: Hey.,"হ্যাঁ, জানি তুমি এখানে কী করছো..."
"00:14:43,250 --> 00:14:45,753",PETER,Hey. You're still here.,...কিন্তু এখন ছাত্রদের সাথে কথা বলার মতো সময় আমার নেই
"00:14:46,720 --> 00:14:48,288",PETER,I saw your billboard on Bleecker.,"কিন্তু ওসক্রপ টাকা দেয়, তাই...."
"00:14:48,422 --> 00:14:49,590",MARY JANE,Isn't it funny?,"এইতো, এই জন্যই আমাকে যেতে হবে বোর্ড মিটিং"
"00:14:49,723 --> 00:14:51,725",MARY JANE,I'm really kind of embarrassed.,কিন্তু এখানে আমার কাজ শেষ তোমাদের দুই জিনিয়াসকে একসাথে করেছি
"00:14:51,859 --> 00:14:55,929",PETER,"Don't be. It's nice, I... get to see you every day now.","ভবিষ্যতের জন্য, শুভ কামনা, অটো নোবেল পুরষ্কার, আমরা তোমাকে সুইডেনে দেখতে চাই !"
"00:14:58,866 --> 00:15:00,434",MARY JANE,"I liked seeing you tonight, Peter.","তোমার বন্ধু, বেশ মজার মানুষ"
"00:15:03,404 --> 00:15:04,405",PETER,"Oh, boy, yeah.",আমি আপনার বেশী সময় নষ্ট করবো না
"00:15:12,513 --> 00:15:14,782",PETER,Nothing.,"সে আমাকে এও বলেছে, তুমি অলস"
"00:15:18,318 --> 00:15:22,489",MARY JANE,Do you want to say something?,আমি ভাল করার চেষ্টা করছি
"00:15:27,261 --> 00:15:28,495",PETER,I...,"মেধাবী হওয়া যথেষ্ট নয়, ইয়াং ম্যান তোমাকে কঠিন পরিশ্রম করতে হবে"
"00:15:34,668 --> 00:15:35,836",PETER,was...,বুদ্ধিমত্তা কোন সুবিধা নয় এটা একটা উপহার
"00:15:35,969 --> 00:15:36,937",PETER,[CLEARS THROAT],আর এটাকে তোমার মানুষের কল্যাণে ব্যবহার করতে হবে
"00:15:37,071 --> 00:15:40,908",PETER,wondering i-if you're still in the Village.,চেষ্টা করেছ?
"00:15:45,579 --> 00:15:47,481",MARY JANE,[SIGHS SOFTLY],এটাই কি ?
"00:15:49,483 --> 00:15:52,219",MARY JANE,You're such a mystery.,"হ্যাঁ, ফিউশন শুরু এবং বজায় রাখার জন্য আমার ডিজাইন"
"00:16:01,595 --> 00:16:04,732",PETER,[WHISPERS] Peter.,"আমি বুঝতে পারছি, আপনি হারমোনিক এবং এটমিক ফ্রিকুয়েন্সি ব্যবহার করছেন"
"00:16:04,865 --> 00:16:05,999",MARY JANE,[WHISPERS] What?,সিম্পেথেটিক ফ্রিকুয়েন্সি
"00:16:10,604 --> 00:16:13,474",MARY JANE,Happy birthday.,হারমোনিক শক্তিবৃদ্ধি ?
"00:16:21,515 --> 00:16:23,484",MARY JANE,I'm seeing somebody now.,বলতে থাকো
"00:16:23,617 --> 00:16:24,518",PETER,"You mean,",আউটপুটে শক্তি বৃদ্ধি
"00:16:24,651 --> 00:16:27,421",PETER,like a boyfriend? Well...,ব্যাপক পরিমাণে শক্তি
"00:16:27,554 --> 00:16:29,890",MARY JANE,"like, I like him.",যেন একটা অবিরাম স্থায়ী সূর্য পুরো দুনিয়ার জন্য পুণরায় ব্যবহার যোগ্য শক্তি দিচ্ছে
"00:16:31,892 --> 00:16:33,093",PETER,[QUIETLY] Uh...,"আপনি কি নিশ্চিত, ফিউশনের প্রতিক্রিয়া আপনি নিয়ন্ত্রণ করতে পারবেন ?"
"00:16:33,227 --> 00:16:34,862",MARY JANE,What?,"পিটার, আমরা গত দেড়ঘন্টা যাবত কী নিয়ে কথা বলছি ?"
"00:16:34,995 --> 00:16:35,896",PETER,Nothing.,এটা আমার সারা জীবনের সাধনা
"00:16:37,397 --> 00:16:40,801",PETER,"That's good, you know? Companionship...",হিসেবের সামান্য ভুলের পরিণাম সম্পর্কে আমি জানি
"00:16:41,535 --> 00:16:44,304",MARY JANE,Maybe more than that.,"আমি দুঃখিত, আমি প্রশ্নটা এভাবে করতে চাইনি"
"00:16:45,305 --> 00:16:46,740",PETER,More?,"রোজি, আমাদের নতুন বন্ধুটি ভাবে, আমি পুরো শহরটি উড়িয়ে দিতে যাচ্ছি !!"
"00:16:47,908 --> 00:16:49,476",MARY JANE,I don't know.,তুমি আজ নিশ্চিতে ঘুমাতে পারো
"00:16:49,610 --> 00:16:52,479",PETER,I'm gonna come see your play tomorrow night.,অটো তাঁর বাড়ির কাজ করে ফেলেছে
"00:16:53,781 --> 00:16:54,915",MARY JANE,Y...,কালকে পরীক্ষামূলক প্রদর্শনীতে এসো আর নিজের চোখে দেখে নিয়ো
"00:16:55,649 --> 00:16:56,583",PETER,You're coming?,"আর তোমাকেও আজ রাতে ভাল ঘুম দিতে হবে, অটো"
"00:16:56,717 --> 00:16:57,851",PETER,I'll be there.,এডিসন কি তাঁর লাইট জ্বালানোর আগে ঘুমিয়ে ছিলেন ?
"00:16:59,520 --> 00:17:01,121",MARY JANE,Don't disappoint me.,মার্কোনী কি তাঁর রেডিও চালানোর আগে ঘুমিয়ে ছিলেন ?
"00:17:02,623 --> 00:17:03,557",PETER,I won't.,বেথোভিন কি তাঁর দ্য ফিফথ লেখার আগে ঘুমিয়ে ছিলেন ?
"00:17:19,907 --> 00:17:21,975",DITKOVITCH,MAN: Rent!,বারনোলি কি আক্রমণের সবচেয়ে দ্রুত গতির উপায় বের করার আগে ঘুমিয়ে ছিলেন?
"00:17:23,844 --> 00:17:25,179",DITKOVITCH,Hi.,"রোজি, আমি এই ছেলেটাকে ভালবাসি"
"00:17:25,312 --> 00:17:26,146",PETER,Hi.,"পিটার, তোমার সম্পর্কে বলো তোমার কি কোন গার্লফ্রেন্ড আছে ?"
"00:17:26,280 --> 00:17:27,648",DITKOVITCH,"What's \hi\""? Can I spend it?""",বেশ...
"00:17:29,016 --> 00:17:30,951",PETER,I have a paycheck due this week and...,আমি আসলে জানি না
"00:17:31,084 --> 00:17:32,519",DITKOVITCH,You're a month late again.,তোমার কি জানা উচিত নয়? তাহলে কে জানবে ?
"00:17:32,653 --> 00:17:35,489",PETER,Again. I promise as soon as-- If promises,তাকে ছেড়ে দাও হয়তো এটা গোপন ভালবাসা
"00:17:35,622 --> 00:17:37,257",DITKOVITCH,"were crackers, my daughter would be fat.",ভালবাসা কখনও গোপন হতে নেই
"00:17:38,826 --> 00:17:40,060",PETER,"I'm really sorry, Mr. Ditkovitch.",যদি যদি ভালবাসার মতো একটি জটিল জিনিসকে ভেতরে পুষে রাখো...
"00:17:40,194 --> 00:17:43,363",PETER,"You know, all I got is this 20 for the rest of the week-- Ah!",...এটা তোমাকে অসুস্থ করে তুলবে
"00:17:43,497 --> 00:17:44,965",DITKOVITCH,"\Sorry\"" doesn't pay the rent.""",আমার সৌভাগ্য অবশেষে আমি ভালবাসা পেয়েছি
"00:17:45,098 --> 00:17:46,600",DITKOVITCH,And don't try to sneak past me.,আমরা দুইজনই পেয়েছি
"00:17:46,733 --> 00:17:48,602",DITKOVITCH,I have ears like a cat.,কিন্তু এটা নিখুঁত ছিল না আমরা এটা নিয়ে কাজ করেছি
"00:17:48,735 --> 00:17:49,670",DITKOVITCH,And eyes...,কলেজে ওর সাথে দেখা হয়েছিল আর আমি জানতাম এটা বেশ সহজ হবে না
"00:17:49,803 --> 00:17:52,172",DITKOVITCH,like a rodent.,"সে সাইন্সে লেখাপড়া করতো, আমি ইংরেজী সাহিত্যে পড়তাম."
"00:17:52,306 --> 00:17:53,841",PETER,"Thanks, Mr. Ditkovitch.","হুম, আমি আপেক্ষিক তত্ত্ব বোঝানোর চেষ্টা করতাম"
"00:17:53,974 --> 00:17:54,875",URSULA,"Hi, Pete.",আর রোজি টি.এস ইলিয়ট বোঝানোর চেষ্টা করতো
"00:17:55,008 --> 00:17:56,176",PETER,[SIZZLE] Ah! Oh!,আমি এখনও জানি না সে কী নিয়ে কথা বলতো
"00:18:42,371 --> 00:18:43,955",DITKOVITCH,Hello?,"- হ্যাঁ, তুমি জানো - আমি সিরিয়াস"
"00:18:51,339 --> 00:18:53,048",DITKOVITCH,Rent?,উন্নত বিজ্ঞানের চেয়ে টি.এস ইলিয়ট অনেক জটিল
"00:18:58,137 --> 00:19:00,513",MAN,MAN: Doctor? Mr. Osborn's here.,"কিন্তু যদি তুমি কোন মেয়েকে তোমার প্রেমে ফেলতে চাও, তাহলে তাকে কবিতা গুলিয়ে খাওয়াও !"
"00:19:00,681 --> 00:19:04,559",HARRY,"HARRY: Nobel Prize, Otto. Nobel Prize, and we'll all be rich. Yeah.",কবিতা?
"00:19:04,894 --> 00:19:06,519",OTTO,"It's not about the prizes, Harry.",একদম অব্যর্থ!
"00:19:06,687 --> 00:19:08,480",HARRY,"Nah, but you need money. You need OsCorp.",লম্বা হালকা-পাতলা গড়নের একটি মেয়ে বিস্তৃণ এক প্রান্তরে একলা দাঁড়িয়ে আছে
"00:19:08,648 --> 00:19:09,940",OTTO,Who do we have here?,তার সারা শরীর উজ্জ্বল সবুজ রঙের পোশাকে ঢাকা
"00:19:10,107 --> 00:19:11,858",HARRY,This is my good friend I called you about.,আর তার চুল যেন সূর্য কিরণ
"00:19:12,026 --> 00:19:13,693",HARRY,The guy who got me through high-school science.,দিনের পর দিন সে তার উপর আরও দূর্বল হয়ে পড়ল
"00:19:13,861 --> 00:19:16,863",PETER,"Peter Parker, sir. I'm writing a paper on you for--",ভাড়া!
"00:19:17,031 --> 00:19:20,909",OTTO,"Yes, yes, I know what you're doing here, but I really don't have time to talk to students right now.",আমার টাকা কোথায় ?!
"00:19:21,869 --> 00:19:23,703",OTTO,But OsCorp pays the bills so...,তোমাকে আজ রাতে বেশ উৎফুল্ল লাগছে
"00:19:23,871 --> 00:19:26,206",HARRY,"HARRY: That's right. That's why I have to take off, board meeting,","তুমি জানো না, আজ কে আসছে"
"00:19:26,374 --> 00:19:29,751",HARRY,but my job is done here. Got you two geniuses together.,"লেডিস, ৫ মিনিট ৫ মিনিট"
"00:19:29,919 --> 00:19:34,506",HARRY,"Good luck tomorrow, Otto. Nobel Prize, we'll see you in Sweden !",তুমি ওটা কিভাবে করলে ?
"00:19:37,218 --> 00:19:38,718",OTTO,"Interesting fellow, your friend.","ব্যায়াম করি, ভাল করে বিশ্রাম নিই"
"00:19:39,345 --> 00:19:41,012",PETER,"Well, I won't take much of your time--",তোমরা সবুজ শাক-সবজ্বি খেয়ো
"00:19:41,180 --> 00:19:45,558",OTTO,"Parker, I remember you. You're Connors' student. He tells me you're brilliant.",আমার মা সবসময় এটা বলে আমি আসলে তাকে বিশ্বাস করতাম না
"00:19:46,352 --> 00:19:48,436",OTTO,He also tells me you're lazy.,"চলো, যাও"
"00:19:49,438 --> 00:19:50,689",PETER,I'm trying to do better.,চালাতে থাকো
"00:19:50,856 --> 00:19:54,442",OTTO,"Being brilliant's not enough, young man. You have to work hard.",এটা একটা জাল
"00:19:54,777 --> 00:19:57,946",OTTO,"Intelligence is not a privilege, it's a gift.","যাও, স্পাইডি, যাও !"
"00:19:58,114 --> 00:20:00,282",OTTO,And you use it for the good of mankind.,সমস্যা!
"00:20:00,449 --> 00:20:01,908",MAN,You wanna try back there?,আমাকে নিচে নামাও !
"00:20:02,743 --> 00:20:04,286",PETER,So...is that it?,মি. ক্রিফ যা বলেছেন আমি তারচেয়েও ভাল গুণের অধিকারী
"00:20:04,453 --> 00:20:08,873",OTTO,Yes. My design to initiate and sustain fusion.,তাঁর কন্ঠ একজনকে অনেক বেশী বিশ্বাস করতে উৎসাহিত করে
"00:20:09,292 --> 00:20:12,168",PETER,"Well, I understand you use harmonics and atomic frequencies.",তাহলে তুমি কি তাদেরকে ক্ষমা করে দেয়ার কথা ভাবছো ?
"00:20:12,336 --> 00:20:13,712",OTTO,Sympathetic frequencies.,হ্যাঁ
"00:20:13,879 --> 00:20:15,922",PETER,Harmonic reinforcement?,আমি বোঝাতে চেয়েছি “না”
"00:20:16,257 --> 00:20:17,966",OTTO,Go on.,"হেই, হেই, চিফ তুমি সেটা ওখানে পার্ক করেছো, আমি এটাকে শিকল লাগাচ্ছি"
"00:20:18,551 --> 00:20:22,095",PETER,An exponential increase in energy output.,তাতে কী আসে যায়
